@relation pandasdata
@attribute Lag_NO_1 real
@attribute Lag_NO_2 real
@attribute Lag_NO_3 real
@attribute Lag_NO_4 real
@attribute Lag_NO_5 real
@attribute Lag_NO_6 real
@attribute Lag_NO_7 real
@attribute Lag_SO2_1 real
@attribute Lag_SO2_2 real
@attribute Lag_SO2_3 real
@attribute Lag_SO2_4 real
@attribute Lag_SO2_5 real
@attribute Lag_SO2_6 real
@attribute Lag_SO2_7 real
@attribute Lag_O3_1 real
@attribute Lag_O3_2 real
@attribute Lag_O3_3 real
@attribute Lag_O3_4 real
@attribute Lag_O3_5 real
@attribute Lag_O3_6 real
@attribute Lag_O3_7 real
@attribute Lag_TMP_1 real
@attribute Lag_TMP_2 real
@attribute Lag_TMP_3 real
@attribute Lag_TMP_4 real
@attribute Lag_TMP_5 real
@attribute Lag_TMP_6 real
@attribute Lag_TMP_7 real
@attribute Lag_HR_1 real
@attribute Lag_HR_2 real
@attribute Lag_HR_3 real
@attribute Lag_HR_4 real
@attribute Lag_HR_5 real
@attribute Lag_HR_6 real
@attribute Lag_HR_7 real
@attribute Lag_NOX_1 real
@attribute Lag_NOX_2 real
@attribute Lag_NOX_3 real
@attribute Lag_NOX_4 real
@attribute Lag_NOX_5 real
@attribute Lag_NOX_6 real
@attribute Lag_NOX_7 real
@attribute Lag_DD_1 real
@attribute Lag_DD_2 real
@attribute Lag_DD_3 real
@attribute Lag_DD_4 real
@attribute Lag_DD_5 real
@attribute Lag_DD_6 real
@attribute Lag_DD_7 real
@attribute Lag_PRB_1 real
@attribute Lag_PRB_2 real
@attribute Lag_PRB_3 real
@attribute Lag_PRB_4 real
@attribute Lag_PRB_5 real
@attribute Lag_PRB_6 real
@attribute Lag_PRB_7 real
@attribute Lag_RS_1 real
@attribute Lag_RS_2 real
@attribute Lag_RS_3 real
@attribute Lag_RS_4 real
@attribute Lag_RS_5 real
@attribute Lag_RS_6 real
@attribute Lag_RS_7 real
@attribute Lag_VV_1 real
@attribute Lag_VV_2 real
@attribute Lag_VV_3 real
@attribute Lag_VV_4 real
@attribute Lag_VV_5 real
@attribute Lag_VV_6 real
@attribute Lag_VV_7 real
@attribute Lag_PM10_1 real
@attribute Lag_PM10_2 real
@attribute Lag_PM10_3 real
@attribute Lag_PM10_4 real
@attribute Lag_PM10_5 real
@attribute Lag_PM10_6 real
@attribute Lag_PM10_7 real
@attribute Lag_NO2_1 real
@attribute Lag_NO2_2 real
@attribute Lag_NO2_3 real
@attribute Lag_NO2_4 real
@attribute Lag_NO2_5 real
@attribute Lag_NO2_6 real
@attribute Lag_NO2_7 real
@attribute NO2 real
@data
4.0,4.0,2.0,4.0,3.75,3.5,3.25,9.0,8.0,9.0,9.0,9.0,8.0,7.5,78.0,78.0,77.0,74.0,72.0,65.0,61.0,28.0,28.0,28.0,27.0,27.0,27.0,28.0,68.0,71.0,61.0,63.0,63.0,74.0,74.0,17.0,15.0,11.0,15.0,14.75,14.5,14.25,151.0,163.0,94.0,40.0,46.0,65.0,76.5,1017.0,1018.0,1021.0,1023.0,1024.0,1023.0,1023.0,302.0,275.0,294.0,294.0,309.0,283.0,305.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,36.0,36.0,33.0,28.0,33.0,36.5,12.0,9.0,7.0,10.0,9.75,9.5,9.25,11.0
8.0,4.0,4.0,2.0,4.0,3.75,3.5,9.0,9.0,8.0,9.0,9.0,9.0,8.0,82.0,78.0,78.0,77.0,74.0,72.0,65.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,70.0,68.0,71.0,61.0,63.0,63.0,74.0,23.0,17.0,15.0,11.0,15.0,14.75,14.5,157.0,151.0,163.0,94.0,40.0,46.0,65.0,1016.0,1017.0,1018.0,1021.0,1023.0,1024.0,1023.0,279.0,302.0,275.0,294.0,294.0,309.0,283.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,60.0,36.0,36.0,33.0,28.0,33.0,11.0,12.0,9.0,7.0,10.0,9.75,9.5,11.0
12.0,8.0,4.0,4.0,2.0,4.0,3.75,8.0,9.0,9.0,8.0,9.0,9.0,9.0,80.0,82.0,78.0,78.0,77.0,74.0,72.0,27.0,28.0,28.0,28.0,28.0,27.0,27.0,69.0,70.0,68.0,71.0,61.0,63.0,63.0,28.0,23.0,17.0,15.0,11.0,15.0,14.75,179.0,157.0,151.0,163.0,94.0,40.0,46.0,1019.0,1016.0,1017.0,1018.0,1021.0,1023.0,1024.0,290.0,279.0,302.0,275.0,294.0,294.0,309.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,42.0,60.0,36.0,36.0,33.0,28.0,11.0,11.0,12.0,9.0,7.0,10.0,9.75,11.0
6.0,12.0,8.0,4.0,4.0,2.0,4.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,71.0,80.0,82.0,78.0,78.0,77.0,74.0,28.0,27.0,28.0,28.0,28.0,28.0,27.0,65.0,69.0,70.0,68.0,71.0,61.0,63.0,20.0,28.0,23.0,17.0,15.0,11.0,15.0,173.0,179.0,157.0,151.0,163.0,94.0,40.0,1022.0,1019.0,1016.0,1017.0,1018.0,1021.0,1023.0,244.0,290.0,279.0,302.0,275.0,294.0,294.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,40.0,42.0,60.0,36.0,36.0,33.0,11.0,11.0,11.0,12.0,9.0,7.0,10.0,10.0
4.0,6.0,12.0,8.0,4.0,4.0,2.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,78.0,71.0,80.0,82.0,78.0,78.0,77.0,28.0,28.0,27.0,28.0,28.0,28.0,28.0,63.0,65.0,69.0,70.0,68.0,71.0,61.0,16.0,20.0,28.0,23.0,17.0,15.0,11.0,162.0,173.0,179.0,157.0,151.0,163.0,94.0,1022.0,1022.0,1019.0,1016.0,1017.0,1018.0,1021.0,293.0,244.0,290.0,279.0,302.0,275.0,294.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,33.0,40.0,42.0,60.0,36.0,36.0,10.0,11.0,11.0,11.0,12.0,9.0,7.0,10.0
4.0,4.0,6.0,12.0,8.0,4.0,4.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,55.0,78.0,71.0,80.0,82.0,78.0,78.0,27.0,28.0,28.0,27.0,28.0,28.0,28.0,73.0,63.0,65.0,69.0,70.0,68.0,71.0,16.0,16.0,20.0,28.0,23.0,17.0,15.0,58.0,162.0,173.0,179.0,157.0,151.0,163.0,1020.0,1022.0,1022.0,1019.0,1016.0,1017.0,1018.0,259.0,293.0,244.0,290.0,279.0,302.0,275.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,42.0,33.0,40.0,42.0,60.0,36.0,10.0,10.0,11.0,11.0,11.0,12.0,9.0,12.0
4.0,4.0,4.0,6.0,12.0,8.0,4.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,61.0,55.0,78.0,71.0,80.0,82.0,78.0,27.0,27.0,28.0,28.0,27.0,28.0,28.0,71.0,73.0,63.0,65.0,69.0,70.0,68.0,18.0,16.0,16.0,20.0,28.0,23.0,17.0,196.0,58.0,162.0,173.0,179.0,157.0,151.0,1020.0,1020.0,1022.0,1022.0,1019.0,1016.0,1017.0,292.0,259.0,293.0,244.0,290.0,279.0,302.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,35.0,42.0,33.0,40.0,42.0,60.0,12.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0
4.0,4.0,4.0,4.0,6.0,12.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,62.0,61.0,55.0,78.0,71.0,80.0,82.0,28.0,27.0,27.0,28.0,28.0,27.0,28.0,63.0,71.0,73.0,63.0,65.0,69.0,70.0,19.0,18.0,16.0,16.0,20.0,28.0,23.0,197.0,196.0,58.0,162.0,173.0,179.0,157.0,1020.0,1020.0,1020.0,1022.0,1022.0,1019.0,1016.0,271.0,292.0,259.0,293.0,244.0,290.0,279.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,28.0,30.0,35.0,42.0,33.0,40.0,42.0,12.0,12.0,10.0,10.0,11.0,11.0,11.0,14.0
4.0,4.0,4.0,4.0,4.0,6.0,12.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,76.0,62.0,61.0,55.0,78.0,71.0,80.0,30.0,28.0,27.0,27.0,28.0,28.0,27.0,54.0,63.0,71.0,73.0,63.0,65.0,69.0,19.0,19.0,18.0,16.0,16.0,20.0,28.0,142.0,197.0,196.0,58.0,162.0,173.0,179.0,1020.0,1020.0,1020.0,1020.0,1022.0,1022.0,1019.0,278.0,271.0,292.0,259.0,293.0,244.0,290.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,41.0,28.0,30.0,35.0,42.0,33.0,40.0,14.0,12.0,12.0,10.0,10.0,11.0,11.0,12.0
3.0,4.0,4.0,4.0,4.0,4.0,6.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,64.0,76.0,62.0,61.0,55.0,78.0,71.0,29.0,30.0,28.0,27.0,27.0,28.0,28.0,62.0,54.0,63.0,71.0,73.0,63.0,65.0,17.0,19.0,19.0,18.0,16.0,16.0,20.0,170.0,142.0,197.0,196.0,58.0,162.0,173.0,1021.0,1020.0,1020.0,1020.0,1020.0,1022.0,1022.0,271.0,278.0,271.0,292.0,259.0,293.0,244.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,28.0,41.0,28.0,30.0,35.0,42.0,33.0,12.0,14.0,12.0,12.0,10.0,10.0,11.0,13.0
4.0,3.0,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,76.0,64.0,76.0,62.0,61.0,55.0,78.0,30.0,29.0,30.0,28.0,27.0,27.0,28.0,54.0,62.0,54.0,63.0,71.0,73.0,63.0,18.0,17.0,19.0,19.0,18.0,16.0,16.0,203.0,170.0,142.0,197.0,196.0,58.0,162.0,1018.0,1021.0,1020.0,1020.0,1020.0,1020.0,1022.0,285.0,271.0,278.0,271.0,292.0,259.0,293.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,43.0,28.0,41.0,28.0,30.0,35.0,42.0,13.0,12.0,14.0,12.0,12.0,10.0,10.0,12.0
4.0,4.0,3.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,57.0,76.0,64.0,76.0,62.0,61.0,55.0,29.0,30.0,29.0,30.0,28.0,27.0,27.0,73.0,54.0,62.0,54.0,63.0,71.0,73.0,17.0,18.0,17.0,19.0,19.0,18.0,16.0,145.0,203.0,170.0,142.0,197.0,196.0,58.0,1016.0,1018.0,1021.0,1020.0,1020.0,1020.0,1020.0,253.0,285.0,271.0,278.0,271.0,292.0,259.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,36.0,43.0,28.0,41.0,28.0,30.0,35.0,12.0,13.0,12.0,14.0,12.0,12.0,10.0,11.0
4.0,4.0,4.0,3.0,4.0,4.0,4.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,58.0,57.0,76.0,64.0,76.0,62.0,61.0,29.0,29.0,30.0,29.0,30.0,28.0,27.0,74.0,73.0,54.0,62.0,54.0,63.0,71.0,17.0,17.0,18.0,17.0,19.0,19.0,18.0,128.0,145.0,203.0,170.0,142.0,197.0,196.0,1018.0,1016.0,1018.0,1021.0,1020.0,1020.0,1020.0,179.0,253.0,285.0,271.0,278.0,271.0,292.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,41.0,36.0,43.0,28.0,41.0,28.0,30.0,11.0,12.0,13.0,12.0,14.0,12.0,12.0,10.0
3.0,4.0,4.0,4.0,3.0,4.0,4.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,66.0,58.0,57.0,76.0,64.0,76.0,62.0,30.0,29.0,29.0,30.0,29.0,30.0,28.0,73.0,74.0,73.0,54.0,62.0,54.0,63.0,15.0,17.0,17.0,18.0,17.0,19.0,19.0,113.0,128.0,145.0,203.0,170.0,142.0,197.0,1021.0,1018.0,1016.0,1018.0,1021.0,1020.0,1020.0,174.0,179.0,253.0,285.0,271.0,278.0,271.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,59.0,41.0,36.0,43.0,28.0,41.0,28.0,10.0,11.0,12.0,13.0,12.0,14.0,12.0,12.0
4.0,3.0,4.0,4.0,4.0,3.0,4.0,7.0,6.0,7.0,8.0,8.0,8.0,8.0,74.0,66.0,58.0,57.0,76.0,64.0,76.0,31.0,30.0,29.0,29.0,30.0,29.0,30.0,63.0,73.0,74.0,73.0,54.0,62.0,54.0,17.0,15.0,17.0,17.0,18.0,17.0,19.0,202.0,113.0,128.0,145.0,203.0,170.0,142.0,1022.0,1021.0,1018.0,1016.0,1018.0,1021.0,1020.0,273.0,174.0,179.0,253.0,285.0,271.0,278.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,65.0,59.0,41.0,36.0,43.0,28.0,41.0,12.0,10.0,11.0,12.0,13.0,12.0,14.0,14.0
4.0,4.0,3.0,4.0,4.0,4.0,3.0,8.0,7.0,6.0,7.0,8.0,8.0,8.0,75.0,74.0,66.0,58.0,57.0,76.0,64.0,31.0,31.0,30.0,29.0,29.0,30.0,29.0,59.0,63.0,73.0,74.0,73.0,54.0,62.0,21.0,17.0,15.0,17.0,17.0,18.0,17.0,142.0,202.0,113.0,128.0,145.0,203.0,170.0,1021.0,1022.0,1021.0,1018.0,1016.0,1018.0,1021.0,267.0,273.0,174.0,179.0,253.0,285.0,271.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,81.0,65.0,59.0,41.0,36.0,43.0,28.0,14.0,12.0,10.0,11.0,12.0,13.0,12.0,12.0
4.0,4.0,4.0,3.0,4.0,4.0,4.0,7.0,8.0,7.0,6.0,7.0,8.0,8.0,63.0,75.0,74.0,66.0,58.0,57.0,76.0,31.0,31.0,31.0,30.0,29.0,29.0,30.0,65.0,59.0,63.0,73.0,74.0,73.0,54.0,18.0,21.0,17.0,15.0,17.0,17.0,18.0,167.0,142.0,202.0,113.0,128.0,145.0,203.0,1021.0,1021.0,1022.0,1021.0,1018.0,1016.0,1018.0,263.0,267.0,273.0,174.0,179.0,253.0,285.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,64.0,81.0,65.0,59.0,41.0,36.0,43.0,12.0,14.0,12.0,10.0,11.0,12.0,13.0,9.0
4.0,4.0,4.0,4.0,3.0,4.0,4.0,7.0,7.0,8.0,7.0,6.0,7.0,8.0,55.0,63.0,75.0,74.0,66.0,58.0,57.0,29.0,31.0,31.0,31.0,30.0,29.0,29.0,76.0,65.0,59.0,63.0,73.0,74.0,73.0,14.0,18.0,21.0,17.0,15.0,17.0,17.0,58.0,167.0,142.0,202.0,113.0,128.0,145.0,1022.0,1021.0,1021.0,1022.0,1021.0,1018.0,1016.0,223.0,263.0,267.0,273.0,174.0,179.0,253.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,42.0,64.0,81.0,65.0,59.0,41.0,36.0,9.0,12.0,14.0,12.0,10.0,11.0,12.0,11.0
4.0,4.0,4.0,4.0,4.0,3.0,4.0,6.0,7.0,7.0,8.0,7.0,6.0,7.0,54.0,55.0,63.0,75.0,74.0,66.0,58.0,29.0,29.0,31.0,31.0,31.0,30.0,29.0,76.0,76.0,65.0,59.0,63.0,73.0,74.0,17.0,14.0,18.0,21.0,17.0,15.0,17.0,147.0,58.0,167.0,142.0,202.0,113.0,128.0,1021.0,1022.0,1021.0,1021.0,1022.0,1021.0,1018.0,188.0,223.0,263.0,267.0,273.0,174.0,179.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,33.0,42.0,64.0,81.0,65.0,59.0,41.0,11.0,9.0,12.0,14.0,12.0,10.0,11.0,11.0
6.0,4.0,4.0,4.0,4.0,4.0,3.0,7.0,6.0,7.0,7.0,8.0,7.0,6.0,80.0,54.0,55.0,63.0,75.0,74.0,66.0,30.0,29.0,29.0,31.0,31.0,31.0,30.0,72.0,76.0,76.0,65.0,59.0,63.0,73.0,20.0,17.0,14.0,18.0,21.0,17.0,15.0,160.0,147.0,58.0,167.0,142.0,202.0,113.0,1017.0,1021.0,1022.0,1021.0,1021.0,1022.0,1021.0,246.0,188.0,223.0,263.0,267.0,273.0,174.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,49.0,33.0,42.0,64.0,81.0,65.0,59.0,11.0,11.0,9.0,12.0,14.0,12.0,10.0,9.0
5.0,6.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0,95.0,80.0,54.0,55.0,63.0,75.0,74.0,29.0,30.0,29.0,29.0,31.0,31.0,31.0,67.0,72.0,76.0,76.0,65.0,59.0,63.0,16.0,20.0,17.0,14.0,18.0,21.0,17.0,143.0,160.0,147.0,58.0,167.0,142.0,202.0,1020.0,1017.0,1021.0,1022.0,1021.0,1021.0,1022.0,250.0,246.0,188.0,223.0,263.0,267.0,273.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,42.0,49.0,33.0,42.0,64.0,81.0,65.0,9.0,11.0,11.0,9.0,12.0,14.0,12.0,8.0
5.0,5.0,6.0,4.0,4.0,4.0,4.0,8.0,7.0,7.0,6.0,7.0,7.0,8.0,92.0,95.0,80.0,54.0,55.0,63.0,75.0,25.0,29.0,30.0,29.0,29.0,31.0,31.0,70.0,67.0,72.0,76.0,76.0,65.0,59.0,16.0,16.0,20.0,17.0,14.0,18.0,21.0,75.0,143.0,160.0,147.0,58.0,167.0,142.0,1025.0,1020.0,1017.0,1021.0,1022.0,1021.0,1021.0,100.0,250.0,246.0,188.0,223.0,263.0,267.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,42.0,49.0,33.0,42.0,64.0,81.0,8.0,9.0,11.0,11.0,9.0,12.0,14.0,10.0
3.0,5.0,5.0,6.0,4.0,4.0,4.0,9.0,8.0,7.0,7.0,6.0,7.0,7.0,95.0,92.0,95.0,80.0,54.0,55.0,63.0,25.0,25.0,29.0,30.0,29.0,29.0,31.0,62.0,70.0,67.0,72.0,76.0,76.0,65.0,15.0,16.0,16.0,20.0,17.0,14.0,18.0,38.0,75.0,143.0,160.0,147.0,58.0,167.0,1026.0,1025.0,1020.0,1017.0,1021.0,1022.0,1021.0,279.0,100.0,250.0,246.0,188.0,223.0,263.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,33.0,42.0,49.0,33.0,42.0,64.0,10.0,8.0,9.0,11.0,11.0,9.0,12.0,9.0
5.0,3.0,5.0,5.0,6.0,4.0,4.0,8.0,9.0,8.0,7.0,7.0,6.0,7.0,90.0,95.0,92.0,95.0,80.0,54.0,55.0,25.0,25.0,25.0,29.0,30.0,29.0,29.0,65.0,62.0,70.0,67.0,72.0,76.0,76.0,16.0,15.0,16.0,16.0,20.0,17.0,14.0,45.0,38.0,75.0,143.0,160.0,147.0,58.0,1026.0,1026.0,1025.0,1020.0,1017.0,1021.0,1022.0,272.0,279.0,100.0,250.0,246.0,188.0,223.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,25.0,33.0,42.0,49.0,33.0,42.0,9.0,10.0,8.0,9.0,11.0,11.0,9.0,8.0
4.0,5.0,3.0,5.0,5.0,6.0,4.0,8.0,8.0,9.0,8.0,7.0,7.0,6.0,86.0,90.0,95.0,92.0,95.0,80.0,54.0,25.0,25.0,25.0,25.0,29.0,30.0,29.0,71.0,65.0,62.0,70.0,67.0,72.0,76.0,13.0,16.0,15.0,16.0,16.0,20.0,17.0,43.0,45.0,38.0,75.0,143.0,160.0,147.0,1023.0,1026.0,1026.0,1025.0,1020.0,1017.0,1021.0,266.0,272.0,279.0,100.0,250.0,246.0,188.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,21.0,25.0,33.0,42.0,49.0,33.0,8.0,9.0,10.0,8.0,9.0,11.0,11.0,9.0
4.0,4.0,5.0,3.0,5.0,5.0,6.0,8.0,8.0,8.0,9.0,8.0,7.0,7.0,87.0,86.0,90.0,95.0,92.0,95.0,80.0,26.0,25.0,25.0,25.0,25.0,29.0,30.0,70.0,71.0,65.0,62.0,70.0,67.0,72.0,15.0,13.0,16.0,15.0,16.0,16.0,20.0,33.0,43.0,45.0,38.0,75.0,143.0,160.0,1022.0,1023.0,1026.0,1026.0,1025.0,1020.0,1017.0,240.0,266.0,272.0,279.0,100.0,250.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,22.0,21.0,25.0,33.0,42.0,49.0,9.0,8.0,9.0,10.0,8.0,9.0,11.0,9.0
3.0,4.0,4.0,5.0,3.0,5.0,5.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,88.0,87.0,86.0,90.0,95.0,92.0,95.0,27.0,26.0,25.0,25.0,25.0,25.0,29.0,75.0,70.0,71.0,65.0,62.0,70.0,67.0,13.0,15.0,13.0,16.0,15.0,16.0,16.0,40.0,33.0,43.0,45.0,38.0,75.0,143.0,1023.0,1022.0,1023.0,1026.0,1026.0,1025.0,1020.0,218.0,240.0,266.0,272.0,279.0,100.0,250.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,27.0,22.0,21.0,25.0,33.0,42.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0
3.0,3.0,4.0,4.0,5.0,3.0,5.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,79.0,88.0,87.0,86.0,90.0,95.0,92.0,28.0,27.0,26.0,25.0,25.0,25.0,25.0,77.0,75.0,70.0,71.0,65.0,62.0,70.0,13.0,13.0,15.0,13.0,16.0,15.0,16.0,146.0,40.0,33.0,43.0,45.0,38.0,75.0,1024.0,1023.0,1022.0,1023.0,1026.0,1026.0,1025.0,228.0,218.0,240.0,266.0,272.0,279.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.0,33.0,27.0,22.0,21.0,25.0,33.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0
2.0,3.0,3.0,4.0,4.0,5.0,3.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,76.0,79.0,88.0,87.0,86.0,90.0,95.0,28.0,28.0,27.0,26.0,25.0,25.0,25.0,75.0,77.0,75.0,70.0,71.0,65.0,62.0,12.0,13.0,13.0,15.0,13.0,16.0,15.0,88.0,146.0,40.0,33.0,43.0,45.0,38.0,1025.0,1024.0,1023.0,1022.0,1023.0,1026.0,1026.0,234.0,228.0,218.0,240.0,266.0,272.0,279.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.0,41.0,33.0,27.0,22.0,21.0,25.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,12.0
3.0,2.0,3.0,3.0,4.0,4.0,5.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,72.0,76.0,79.0,88.0,87.0,86.0,90.0,28.0,28.0,28.0,27.0,26.0,25.0,25.0,77.0,75.0,77.0,75.0,70.0,71.0,65.0,16.0,12.0,13.0,13.0,15.0,13.0,16.0,135.0,88.0,146.0,40.0,33.0,43.0,45.0,1023.0,1025.0,1024.0,1023.0,1022.0,1023.0,1026.0,249.0,234.0,228.0,218.0,240.0,266.0,272.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.0,48.0,41.0,33.0,27.0,22.0,21.0,12.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0
3.0,3.0,2.0,3.0,3.0,4.0,4.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,78.0,72.0,76.0,79.0,88.0,87.0,86.0,28.0,28.0,28.0,28.0,27.0,26.0,25.0,76.0,77.0,75.0,77.0,75.0,70.0,71.0,13.0,16.0,12.0,13.0,13.0,15.0,13.0,84.0,135.0,88.0,146.0,40.0,33.0,43.0,1023.0,1023.0,1025.0,1024.0,1023.0,1022.0,1023.0,227.0,249.0,234.0,228.0,218.0,240.0,266.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49.0,43.0,48.0,41.0,33.0,27.0,22.0,8.0,12.0,9.0,9.0,9.0,9.0,8.0,7.0
3.0,3.0,3.0,2.0,3.0,3.0,4.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,76.0,78.0,72.0,76.0,79.0,88.0,87.0,27.0,28.0,28.0,28.0,28.0,27.0,26.0,77.0,76.0,77.0,75.0,77.0,75.0,70.0,11.0,13.0,16.0,12.0,13.0,13.0,15.0,60.0,84.0,135.0,88.0,146.0,40.0,33.0,1026.0,1023.0,1023.0,1025.0,1024.0,1023.0,1022.0,219.0,227.0,249.0,234.0,228.0,218.0,240.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,49.0,43.0,48.0,41.0,33.0,27.0,7.0,8.0,12.0,9.0,9.0,9.0,9.0,11.0
3.0,3.0,3.0,3.0,2.0,3.0,3.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,78.0,76.0,78.0,72.0,76.0,79.0,88.0,26.0,27.0,28.0,28.0,28.0,28.0,27.0,71.0,77.0,76.0,77.0,75.0,77.0,75.0,14.0,11.0,13.0,16.0,12.0,13.0,13.0,42.0,60.0,84.0,135.0,88.0,146.0,40.0,1025.0,1026.0,1023.0,1023.0,1025.0,1024.0,1023.0,218.0,219.0,227.0,249.0,234.0,228.0,218.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,25.0,49.0,43.0,48.0,41.0,33.0,11.0,7.0,8.0,12.0,9.0,9.0,9.0,10.0
4.0,3.0,3.0,3.0,3.0,2.0,3.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,97.0,78.0,76.0,78.0,72.0,76.0,79.0,27.0,26.0,27.0,28.0,28.0,28.0,28.0,66.0,71.0,77.0,76.0,77.0,75.0,77.0,16.0,14.0,11.0,13.0,16.0,12.0,13.0,202.0,42.0,60.0,84.0,135.0,88.0,146.0,1024.0,1025.0,1026.0,1023.0,1023.0,1025.0,1024.0,253.0,218.0,219.0,227.0,249.0,234.0,228.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,32.0,25.0,49.0,43.0,48.0,41.0,10.0,11.0,7.0,8.0,12.0,9.0,9.0,12.0
4.0,4.0,3.0,3.0,3.0,3.0,2.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,73.0,97.0,78.0,76.0,78.0,72.0,76.0,26.0,27.0,26.0,27.0,28.0,28.0,28.0,68.0,66.0,71.0,77.0,76.0,77.0,75.0,18.0,16.0,14.0,11.0,13.0,16.0,12.0,49.0,202.0,42.0,60.0,84.0,135.0,88.0,1023.0,1024.0,1025.0,1026.0,1023.0,1023.0,1025.0,252.0,253.0,218.0,219.0,227.0,249.0,234.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,27.0,32.0,25.0,49.0,43.0,48.0,12.0,10.0,11.0,7.0,8.0,12.0,9.0,10.0
3.0,4.0,4.0,3.0,3.0,3.0,3.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,77.0,73.0,97.0,78.0,76.0,78.0,72.0,26.0,26.0,27.0,26.0,27.0,28.0,28.0,76.0,68.0,66.0,71.0,77.0,76.0,77.0,15.0,18.0,16.0,14.0,11.0,13.0,16.0,45.0,49.0,202.0,42.0,60.0,84.0,135.0,1023.0,1023.0,1024.0,1025.0,1026.0,1023.0,1023.0,246.0,252.0,253.0,218.0,219.0,227.0,249.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,36.0,27.0,32.0,25.0,49.0,43.0,10.0,12.0,10.0,11.0,7.0,8.0,12.0,12.0
